,name,city,state,nirfRank,rank
1347,"Government Degree College, Tuni",Tuni,Andhra Pradesh,nan,nan
1348,"Government Degree College, Tyuni (Dehradun)",Dehradun,Uttarakhand,nan,nan
1349,"Government Degree College, Udayagiri",Udayagiri,Andhra Pradesh,nan,nan
1350,"Government Degree College, V-Madugula",Visakhapatnam,Andhra Pradesh,nan,nan
1351,"Government Degree College, Wardhannapet",Wardhannapet,Telangana,nan,nan
1352,"Government Degree College, Yerragondapalem",Yerragondapalem,Andhra Pradesh,nan,nan
1353,"Government Degree College, kanda",Kanda,Uttarakhand,nan,nan
1354,"Government Degree College,Nainbagh",NAINBAGH,Uttarakhand,nan,nan
1355,"Government Degree Collge, Gandacharra",Dhalai,Tripura,nan,nan
1356,"Government Degree Collge, Santirbazer",Santirbazar,Tripura,nan,nan
1357,"Government Degree Degree College, Hyderabad",Hyderabad,Telangana,nan,nan
1358,Government Dental College,Thiruvananthapuram,Kerala,30,nan
1359,Government Dental College,Ahmedabad,Gujarat,36,nan
1360,"Government Dental College, Bangalore",Bangalore,Karnataka,18,nan
1361,Government Dr. Bhagwat Sahay College,GWALIOR,Madhya Pradesh,nan,nan
1362,Government Dr. Waman Vasudev Patankar Girls College,Durg,Chhattisgarh,nan,nan
1363,Government Engineering Col,Thrissur,Kerala,213,nan
1364,Government Engineering College,Rajkot,Gujarat,nan,nan
1365,Government Engineering College,Bharuch,Gujarat,nan,nan
1366,Government Engineering College,Godhra,Gujarat,nan,nan
1367,Government Engineering College,Haveri,Karnataka,nan,nan
1368,Government Engineering College,Palanpur,Gujarat,nan,nan
1369,Government Engineering College,Trivandrum,Kerala,nan,nan
1370,Government Engineering College Bilaspur,Bilaspur,Chhattisgarh,nan,nan
1371,Government Engineering College Raipur,Raipur,Chhattisgarh,nan,nan
1372,"Government Engineering College, Ballarpur Road",Chandrapur,Maharashtra,nan,nan
1373,"Government Engineering College, Hassan",Hassan,Karnataka,nan,nan
1374,"Government Engineering College, Jagdalpur",Jagdalpur,Chhattisgarh,nan,nan
1375,"Government Engineering College, Jhalawar",Jhalawar,Rajasthan,nan,nan
1376,"Government Engineering College, Kozhikode",Kozhikode,Kerala,nan,nan
1377,"Government Engineering College, Modasa",Modasa,Gujarat,nan,nan
1378,"Government Engineering College, Ramanagara",RAMANAGARA,Karnataka,nan,nan
1379,"Government Engineering College, Thrissur",Thrissur,Kerala,nan,nan
1380,"Government Engineering College, Valsad",Valsad,Gujarat,nan,nan
1381,"Government FGC, Hoskote, Bangalore",Bangalore Rural,Karnataka,nan,nan
1382,"Government First Grade BA, B.Com & BBA College, Raibag",Raibag,Karnataka,nan,nan
1383,Government First Grade College,Dakshina Kannada,Karnataka,nan,nan
1384,Government First Grade College,MUDALAGI,Karnataka,nan,nan
1385,Government First Grade College,Chikkaballapura,Karnataka,nan,nan
1386,Government First Grade College,HARIHARA,Karnataka,nan,nan
1387,Government First Grade College,KRISHNARAJAPETE,Karnataka,nan,nan
1388,"Government First Grade College & PG Center, Chintaman",Chintamani,Karnataka,nan,nan
1389,Government First Grade College Gundlupet,Gundlupet,Karnataka,nan,nan
1390,Government First Grade College Kalgi,Kalagi,Karnataka,nan,nan
1391,Government First Grade College Zalaki,Zalaki,Karnataka,nan,nan
1392,"Government First Grade College for Women, Haveri",Haveri,Karnataka,nan,nan
1393,"Government First Grade College for Women, K.R Pet",K R Pet,Karnataka,nan,nan
1394,"Government First Grade College, Arakalagud",Hassan,Karnataka,nan,nan
1395,"Government First Grade College, Athani",Athani,Karnataka,nan,nan
1396,"Government First Grade College, Ayanur",Shimoga,Karnataka,nan,nan
1397,"Government First Grade College, Banavara",Hassan,Karnataka,nan,nan
1398,"Government First Grade College, Bangarpet",KOLAR,Karnataka,nan,nan
1399,"Government First Grade College, Baramasagara",Bharamasagara,Karnataka,nan,nan
1400,"Government First Grade College, Bilikere",Mysore,Karnataka,nan,nan
1401,"Government First Grade College, Chikkaballapur Dist.",Gauribidanur,Karnataka,nan,nan
1402,"Government First Grade College, Chikkabasur",Haveri,Karnataka,nan,nan
1403,"Government First Grade College, H.D.Kote",Mysore,Karnataka,nan,nan
1404,"Government First Grade College, Honnali",Davanagere,Karnataka,nan,nan
1405,"Government First Grade College, Hosadurga",Hosadurga,Karnataka,nan,nan
1406,"Government First Grade College, Hunagund",Bagalkot,Karnataka,nan,nan
1407,"Government First Grade College, Javagal",Arsikere Tq.,Karnataka,nan,nan
1408,"Government First Grade College, Jayanagar",Bangalore,Karnataka,nan,nan
1409,"Government First Grade College, K R S, S.R Patna",K.R.Sagara,Karnataka,nan,nan
1410,"Government First Grade College, K.R. Puram, Bangalore",Bengaluru,Karnataka,nan,nan
1411,"Government First Grade College, Kalasa","Kalasa ,Mudigere Taluk",Karnataka,nan,nan
1412,"Government First Grade College, Kokatanoor",Kokatanoor,Karnataka,nan,nan
1413,"Government First Grade College, Koteshwara",Kundapura,Karnataka,nan,nan
1414,"Government First Grade College, Kundgol.",Kundgol,Karnataka,nan,nan
1415,"Government First Grade College, Kunigal",Kunigal,Karnataka,nan,nan
1416,"Government First Grade College, Muddebihal",Bijapur,Karnataka,nan,nan
1417,"Government First Grade College, Nanjangud",Mysore,Karnataka,nan,nan
1418,"Government First Grade College, Nyamati",Davanagere,Karnataka,nan,nan
1419,"Government First Grade College, Parushurampura",Chitradurga,Karnataka,nan,nan
