,Unnamed: 0,name,city,state,nirf_rank,ranked,rank,nirfRank
315,2058,"B.P.H.E.Society`s Ahmednagar College, Ahmednagar",Ahmednagar,Maharashtra,,,,
316,1422,B.P.Hivale Institute of Management Studies and Career Development and Research CSRD Campus,Ahmednagar,Maharashtra,,,,
317,2059,"B.S. Patel Arts, Commerce & Science College, Pimpalgaon",Buldana,Maharashtra,,,,
318,2060,"B.S.S. Mahila Mahavidyalaya, Dhanbad",Dhanbad,Jharkhand,,,,
319,2061,"B.V.V. Sangha`s Basaveshwar Commerce College, Bagalkot",Bagalkot,Karnataka,,,,
320,1431,BALAJI INSTITUTE OF TELECOM & MANAGEMENT,Pune,Maharashtra,,,,
321,2091,BBCIT,Hyderabad,Telangana,,,,
322,4196,"BEST DENTAL SCIENCE COLLEGE (Inst. Code - 269), MADURAI",Madurai,Tamil Nadu,,,,
323,4197,BHABHA COLLEGE OF DENTAL SCIENCE,Bhopal,Madhya Pradesh,,,,
324,1775,BISHOP BENZIGER COLLEGE OF NURSING,KOLLAM,Kerala,,,,
325,1448,"BLDEA's SP College of Commerce, Bijapur",Vijayapur,Karnataka,,,,
326,2136,"BLDEA`s Commerce, BHS Arts & TGP Science College",Bagalkot,Karnataka,,,,
327,229,BM College of Technology,Indore,Madhya Pradesh,,,,
328,1449,BML Munjal University,Gurgaon,Haryana,,,,
329,11,BMS College of Arhitecture,Bengaluru,Karnataka,,,,
330,230,BMS Institute of Technology & Management,Bengaluru,Karnataka,,,,
331,12,"BMS School of Architecture, Yelahanka",Bangalore,Karnataka,,,,
332,4894,BNM Institute,Bengaluru,Karnataka,,,,203.0
333,231,BNM Institute of Technology,Bengaluru,Karnataka,,,,
