,name,city,state,nirf_rank,ranked,rank,nirfRank
4206,Darshan Dental College & Hospital,Udaipur,Rajasthan,,nan,nan,nan
4207,"Dasmesh Institute of Research & Dental Sciences, Faridkot",Faridkot,Punjab,,nan,nan,nan
4208,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,,nan,nan,nan
4209,Dayananda Sagar College of Dental Sciences,Bangalore,Karnataka,,nan,nan,nan
4210,Desh Bhagat University,Mandi Gobindgarh,Punjab,,nan,nan,nan
4211,Dharmsinh Desai University,Nadiad,Gujarat,,nan,nan,nan
4212,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,,nan,nan,nan
4213,Dr. Harvansh Singh Judge Institute of Dental Sciences,Chandigarh,Chandigarh,,nan,nan,nan
4214,Drs. Sudha and Nageswara Rao Siddhartha Institute of Dental Sciences,Vijayawada,Andhra Pradesh,,nan,nan,nan
4215,ESIC Dental College,Gulbarga,Karnataka,,nan,nan,nan
4216,ESIC Dental College,Delhi,Delhi,,nan,nan,nan
4217,Farooqia Dental College & Hospital,Mysore,Karnataka,,nan,nan,nan
4218,Geetanjali University,Udaipur,Rajasthan,,nan,nan,nan
4219,Gitam Dental College & Hospital,Vishakhapatnam,Andhra Pradesh,,nan,nan,nan
4220,GOVERNMENT DENTAL COLLEGE,Thiruvananthapuram,Kerala,,nan,nan,nan
4221,Government Dental College,Ahmedabad,Gujarat,,nan,nan,nan
4222,"Government Dental College, Bangalore",Bangalore,Karnataka,,nan,nan,nan
4223,"Govt. Dental College, Indore",Indore,Madhya Pradesh,,nan,nan,nan
4224,"Govt. Dental College, Nagpur",Nagpur,Maharashtra,,nan,nan,nan
4225,GURU NANAK INSTITUTE OF DENTAL SCIENCES & RESEARCH,Kolkata-,West Bengal,,nan,nan,nan
4226,H.P. Govt. Dental College & Hospital,Shimla,Himachal Pradesh,,nan,nan,nan
