name,city,state,nirfRank,rank
BMS Institute of Technology & Management,Bengaluru,Karnataka,199,nan
"BMS School of Architecture, Yelahanka",Bangalore,Karnataka,nan,nan
BNM Institute,Bengaluru,Karnataka,203,nan
BNM Institute of Technology,Bengaluru,Karnataka,nan,nan
"BOKARO MAHILA MAHAVIDYALAYA, BOKARO",Bokaro Steel City,Jharkhand,nan,nan
BRB College Raichur,Raichur,Karnataka,nan,nan
BRCM College of Engineering & Technology,Bahal,Haryana,nan,nan
BSSS College,Bhopal,Madhya Pradesh,nan,nan
BVRIT Hyderabad College of Enginee,Hyderabad,Telangana,204,nan
BVRIT Hyderabad College of Engineering for Women,Hyderabad,Telangana,nan,nan
"BVV SANGH INST. OF MANAGEMENT STUDIES, BAGALKOTE (PG)",Bagalkot,Karnataka,nan,nan
BVV Sangha`s S. Nijalingappa Medical College,Bagalkot,Karnataka,nan,nan
"Baba Banda Singh Bahadur Engineering College, Fatehgarh Sahib",Fatehgarh Sahib,Punjab,nan,nan
Baba Ghulam Shah Badshah University,Rajouri,Jammu and Kashmir,nan,nan
"Baba Jaswant Singh Dental College Hospital & Research Institute, Ludhiana",Ludhiana,Punjab,nan,nan
Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,nan,55
Babasheb Bhimrao Ambedkar University,nan,nan,87,nan
"Babu Anant Ram Janta College, Kaul (Kaithal)",Kaithal,Haryana,nan,nan
